Id,SalePrice
1461,126107.0664508049
1462,154089.9621527109
1463,178285.5927188084
1464,180744.82012421064
1465,198537.9350744095
1466,183476.25206550074
1467,168412.50187631496
1468,173747.91600922323
1469,180572.13359552863
1470,123469.22690526301
1471,198746.5848579698
1472,97746.04866897047
1473,100202.00939411123
1474,156958.7721470707
1475,143285.01422262582
1476,412642.8158221128
1477,256027.76875206584
1478,316705.4867153706
1479,250547.99951969794
1480,483553.3683329727
1481,325594.0248261816
1482,205492.80309638873
1483,177368.16037893176
1484,180199.7520041394
1485,173380.447269414
1486,200357.25975898988
1487,335232.2731992546
1488,240983.97988586084
1489,210952.2489226796
1490,196500.47701013685
1491,197997.1252000747
1492,101077.0407159946
1493,177561.34296980652
1494,316616.8211818241
1495,306549.1673667142
1496,235428.6409746052
1497,194071.96502532694
1498,156976.7584558253
1499,156306.6950233754
1500,146928.33286041726
1501,174848.91451779768
1502,165734.76824325894
1503,301478.3029673798
1504,225228.0859003864
1505,214915.46481488436
1506,187125.4788843315
1507,215562.81486486763
1508,197313.87991895966
1509,166841.29503682058
1510,153532.20776410698
1511,154295.69314631366
1512,168454.63398901335
1513,152421.8297831349
1514,161674.80886380738
1515,172364.12507717512
1516,160141.17861795376
1517,152557.162506128
1518,131816.06666342544
1519,227402.92706062805
1520,137647.7838807203
1521,149901.33694548396
1522,161659.75904130825
1523,114653.65533258292
1524,123693.62962134031
1525,129810.9124725721
1526,127537.59771146277
1527,100784.34607439801
1528,125655.56901197377
1529,145971.22953062985
1530,173956.180905961
1531,135012.27683675557
1532,106195.53328937505
1533,143065.34318065093
1534,116900.98759481176
1535,157307.14491392623
1536,113108.24119465383
1537,78144.18142687806
1538,185170.83603266964
1539,256440.25995421247
1540,121575.29603773124
1541,153760.32874493572
1542,148016.1837639424
1543,222701.1258429495
1544,80403.6769437877
1545,107370.4460716317
1546,121900.66421739213
1547,141329.4987531217
1548,140911.10276719852
1549,114717.71321080554
1550,145725.32286084848
1551,115012.94479303117
1552,150817.12222957567
1553,139244.98410859134
1554,118842.67038271103
1555,174990.01528450366
1556,100633.76194043156
1557,132108.51276162098
1558,97812.96198326604
1559,117026.04014876924
1560,149747.38926000998
1561,156370.99383415742
1562,126032.36128330472
1563,124605.88017876916
1564,171022.75073833167
1565,155612.3346168751
1566,227690.58658590555
1567,78802.07241297602
1568,225854.76060818814
1569,152025.67902653108
1570,126929.58246029745
1571,134822.3385145075
1572,147366.24085363382
1573,238664.957228968
1574,121266.00770567672
1575,210116.85076288285
1576,213145.55708763498
1577,205189.94003711364
1578,156621.2701714864
1579,143921.63222975482
1580,199178.7314982052
1581,138488.61444441005
1582,128511.77571929131
1583,330393.18507563893
1584,241942.80327805105
1585,139470.00168533035
1586,75483.33744227234
1587,103650.80406869296
1588,152175.33793210174
1589,98799.99885271845
1590,136102.0297249642
1591,104378.17194562295
1592,128887.1284855544
1593,118982.53184782322
1594,136706.9701767906
1595,120509.99156422002
1596,239367.82732252308
1597,166920.15604076098
1598,195849.48934055728
1599,207766.91758370958
1600,191864.30882317942
1601,83218.75581000806
1602,117189.23547221256
1603,97644.42707972322
1604,285885.0052904751
1605,258621.38534958963
1606,168844.6545404043
1607,168984.38645646788
1608,204258.6903383657
1609,200167.22615812236
1610,157496.55185406047
1611,151175.80224588758
1612,162628.72335780057
1613,168879.1670272505
1614,123024.65343726893
